mysql:products	SQL SELECT	php:db_mysql::query	0.0021	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0425	0.006 QPS
php:db_mysql::query	SQL DESCRIBE	mysql:unknown	0.0041	0.001 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0021	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0052	0.001 QPS
php:Elecena\Services\Sphinx::getSnippet	SQL CALL	sphinx:unknown	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0021	0.000 QPS
php:Elecena\Services\Sphinx::getSnippet	SQL CALL	sphinx:unknown	0.0010	0.000 QPS
php:Elecena\Services\Sphinx::getSnippet	SQL CALL	sphinx:unknown	0.0010	0.000 QPS
sphinx:parameters	SQL SELECT	php:Parameters::getSimilar	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:shops	0.0010	0.000 QPS
php:db_mysql::query	SQL DELETE	mysql:shops_stats	0.0010	0.000 QPS
php:db_mysql::query	SQL DESCRIBE	mysql:unknown	0.0010	0.000 QPS
mysql:products	SQL SELECT	php:Elecena\Models\Product::newFromIds	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0021	0.000 QPS
php:Elecena\Services\Sphinx::getSnippet	SQL CALL	sphinx:unknown	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0166	0.002 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0010	0.000 QPS
mysql:products	SQL SELECT	php:db_mysql::query	0.0021	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0228	0.003 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0913	0.012 QPS
php:Elecena\Services\Sphinx::getSnippet	SQL CALL	sphinx:unknown	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0010	0.000 QPS
mysql:products	SQL SELECT	php:db_mysql::query	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0114	0.002 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0010	0.000 QPS
php:Elecena\Services\Sphinx::getSnippet	SQL CALL	sphinx:unknown	0.0010	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0021	0.000 QPS
php:db_mysql::query	SQL UPDATE	mysql:products	0.0010	0.000 QPS
php:Elecena\Services\Sphinx::getSnippet	SQL CALL	sphinx:unknown	0.0010	0.000 QPS
